Artist,Hour,stage,date,id
Otoboke Beaver,21:55 - 22:40,Adidas,02.06.22,0HutkALC7kq2L8b9bnZUkq
Black Lips,23:35 - 00:20,Adidas,02.06.22,35C0NSLogAwImm8HAMqEmG
The Armed,01:15 - 02:00,Adidas,02.06.22,4V5obzWMr7BHZrjOiQwB4K
Soto Asa,02:55 - 03:40,Adidas,02.06.22,6gyhsZUy2fzzWZBRVPmOw4
Richard Dawson,16:00 - 16:55,Auditori,02.06.22,0VeQgI9lzgoOMszAOq0iml
Rodrigo Cuevas,17:30 - 18:30,Auditori,02.06.22,1d3CepUS2V6F3cP9YWNfUO
Lingua Ignota,19:00 - 20:00,Auditori,02.06.22,3Q2RrKEOBdkWI2MJQgdt84
Maria del Mar Bonet,21:00 - 22:00,Auditori,02.06.22,41BaIYCli96MF2wqqOutBR
Neska,01:30 - 02:30,NTS Warehouse,02.06.22,1IMX8AG0s31WtvCLk4QEWJ
AFRODEUTSCHE,21:00 - 22:00,Desperados Cube (Primavera Bits),02.06.22,4jRLhvF4a3NHs5TaR1lU3m
Ivy Barkakati,22:00 - 23:00,Desperados Cube (Primavera Bits),02.06.22,3UBeV2UkTunts46Pok3zQu
CRYSTALLMESS,23:00 - 00:00,Desperados Cube (Primavera Bits),02.06.22,5b4g39OmFtyQcwYLSHCvsC
Call SUper,02:30 - 04:00,Desperados Cube (Primavera Bits),02.06.22,1FVo44KTXqxo3JxXADWTd9
Honey Dijon,04:00 - 06:00,Desperados Cube (Primavera Bits),02.06.22,0XfQBWgzisaS9ltDV9bXAS
D. Tiffany,02:45 - 03:30,El Punto by adidas Originals (Primavera Bits),02.06.22,2LMaARRMktW5O2umBFaQUu
Rombo,19:00 - 19:45,Lotus (Primavera Bits),02.06.22,6CV2CoWJJQafHkNVOJjqFO
Pelada,20:00 - 20:45,Lotus (Primavera Bits),02.06.22,1cUt6hBRKlav4TIgjopnHC
oklou,21:00 - 21:45,Lotus (Primavera Bits),02.06.22,6fFcUOFcbjeIuEomuUthkw
Osheyack,22:00 - 23:00,Lotus (Primavera Bits),02.06.22,1juz0H48u94THg3gHf0rGE
Hannah Diamond,23:30 - 00:25,Lotus (Primavera Bits),02.06.22,3sXErEOw7EmO6Sj7EgjHdU
Big Freedia,01:00 - 01:50,Lotus (Primavera Bits),02.06.22,2gyv1akuIB9fQvXoGSPaJr
